brand,model,name,year,unique__id,price,number_images,body_type,km,vehicle_engine
Fonzarelli,Fz,2017 Fonzarelli Fz,2017,7fce48e545b4510d1c5a32034dbd426c08065754e75508df2724489f498a6415,4300,17,Electric Scooters,4634,0
Chopper,Custom,2012 Chopper Custom,2012,76f507b265c382f7b0ac1cb7d283cd5ef8e09533ebc2c89869316dbcedfb0901,25000,5,Cruiser,30000,0
Chopper,Custom,2013 Chopper Custom,2013,ae505fff389bb8f9cb3063f106203ef78364d8321b0aea85d737fd42252fcabc,30000,10,Cruiser,2000,0
Chopper,Custom,1996 Chopper Custom,1996,f62510fb40d7288920ec2e4cbbbaef5ee6021dc7f96f46e2679bc3a4c519db13,16500,8,Cruiser,7069,0
Chopper,Custom,2007 Chopper Custom,2007,ecfe00311137e0de56c1750d21cc50975384f16451f8548960c3958d6ac69110,36950,19,Cruiser,18500,0
Chopper,Custom,2007 Chopper Custom,2007,079d962647e4594ef5357432467119f229a8355249c05b400d9f29577b111a71,25000,13,Cruiser,3000,0
Chopper,Custom,1964 Chopper Custom,1964,146e25b70f0d4c1b01f49f38108513404636219e4caaf5dda6bb301e96da8a78,14000,7,Cruiser,2100,0
Chopper,Custom,2015 Chopper Custom,2015,371f0301c69b3fd1dee299001d3773c9b42c72c7c8867315380ff82caabfae07,53800,12,Cruiser,19,0
Big Dog,Mastiff,2006 Big Dog Mastiff,2006,ad3bbf0f4162684f8faccd418b838775c7a5ffed8f88ac3e031abe04c64e33e2,20000,13,Cruiser,8608,0
American Ironhorse,Slammer,2007 American Ironhorse Slammer,2007,b5dd20bca9d535ee2ca6c2529670b247191ebb3d5abad4f6599f8a8c31f74400,31000,16,Cruiser,8265,0
OZ Trike,Chopper 4,2006 OZ Trike Chopper 4,2006,26cd36243779f61f1fda451a019dd93dbe1ecbee6bb9a4de12ac6900615451d2,26500,15,Cruiser,54012,0
Chopper,Harley Custom,1999 Chopper Harley Custom,1999,769a222b9e6c3f85f6ffaec4ff70b02df388cf3bdce1a0bf8d77743fc0842eed,35000,3,Cruiser,7000,0
Chopper,Harley Custom,2014 Chopper Harley Custom,2014,2dbdcac7365d7f4cce88a6336e14dcc043d296942397e9953939ff82b2f6f257,18000,9,Cruiser,11481,0
Chopper,Harley Custom,2017 Chopper Harley Custom,2017,b2ae4de3357cc5e1670b5011549be7d81d455f1b46db032ac4e9eb2a6f75130c,22000,6,Cruiser,112,0
Chopper,Harley Custom,1982 Chopper Harley Custom,1982,72acd94a3d8f0862704fa35a06e790a4ee5432c9e3e4e83ad2726146991014c8,40000,30,Cruiser,1020,0
Harley-Davidson,FLH Electra Glide,1968 Harley-Davidson FLH Electra Glide,1968,825a7357f33b5c3ebbb020cd4801dcd89aa8afd949cbb16e5333f37bc8f11437,15000,8,Touring,1,0
Harley-Davidson,FLH Electra Glide,1966 Harley-Davidson FLH Electra Glide,1966,d3970344c9780ed26bd7493549d61dcdbacefd2e2a11b98d3f8f90cef8258f0c,27000,20,Touring,5,0
Suzuki,Burgman 650 Executive (AN650A),2011 Suzuki Burgman 650 Executive (AN650A),2011,f651ac312b3404d2015837fee99a98912a6217a42ce80f33196eb7f8918d5772,7200,5,Scooters,22500,0
Suzuki,Burgman 650 Executive (AN650A),2011 Suzuki Burgman 650 Executive (AN650A),2011,033ce3edc5a7dd563d2a74e6c955873187b8c8becc4455d8ed9bdab85e14964e,7500,4,Scooters,16000,0
