brand,model,name,year,unique__id,price,number_images,body_type,km,vehicle_engine,preprocessed_brand,preprocessed_model,preprocessed_body_type,preprocessed_price,preprocessed_km,preprocessed_vehicle_engine,text_content
Suzuki,Burgman 650 Executive (AN650A),2011 Suzuki Burgman 650 Executive (AN650A),2011,f651ac312b3404d2015837fee99a98912a6217a42ce80f33196eb7f8918d5772,7200,5,Scooters,22500.0,0,suzuki,burgman 650 execut ( an650a ),scooter,7200,22500.0,0,suzuki suzuki scooter 7200 22500.0 0
Suzuki,Burgman 650 Executive (AN650A),2011 Suzuki Burgman 650 Executive (AN650A),2011,033ce3edc5a7dd563d2a74e6c955873187b8c8becc4455d8ed9bdab85e14964e,7500,4,Scooters,16000.0,0,suzuki,burgman 650 execut ( an650a ),scooter,7500,16000.0,0,suzuki suzuki scooter 7500 16000.0 0
Vmoto,Monza JP50,2011 Vmoto Monza JP50,2011,f347b8f5ee3acf692229058150861caece84e0bff72f591c8d2ee63f319cfc62,1885,2,Scooters,3185.0,49,vmoto,monza jp50,scooter,1885,3185.0,49,vmoto vmoto scooter 1885 3185.0 49
Peugeot,Ludix Blaster,2006 Peugeot Ludix Blaster,2006,66c4f862a0e0540d8d69c55b654d18191e3befb86b0e7402efdf5088567366fb,600,5,Scooters,12472.0,49,peugeot,ludix blaster,scooter,600,12472.0,49,peugeot peugeot scooter 600 12472.0 49
Suzuki,QuadSport 80 - LT80,2004 Suzuki QuadSport 80 - LT80,2004,554fe97536ad90fe0090ac65e0def673012b07516f0d86333b9d6ef3836c328e,1250,8,Sport,1.0,79,suzuki,quadsport 80 - lt80,sport,1250,1.0,79,suzuki suzuki sport 1250 1.0 79
Suzuki,RV90,1972 Suzuki RV90,1972,d075ca91a8c3588a8003ee3ff29e3457ed5fb06ef219e09eedecd2ea0eab9a4c,4700,8,Naked,7593.0,88,suzuki,rv90,nake,4700,7593.0,88,suzuki suzuki nake 4700 7593.0 88
Vespa,90 Super Sprint,1965 Vespa 90 Super Sprint,1965,61ecdaaf8e34c72c9b54719d9258ff540669051d1b2dbff86fdf086c9bdc8ded,4500,17,Scooters,,88,vespa,90 super sprint,scooter,4500,,88,vespa vespa scooter 4500 nan 88
Yamaha,TT-R90,2005 Yamaha TT-R90,2005,0e95760c1f7dcfbf560ad1d2a09495b6b985f8ddea67065496f50a25be909b7c,1450,3,Trail,1.0,89,yamaha,tt-r90,trail,1450,1.0,89,yamaha yamaha trail 1450 1.0 89
Vespa,100 Sport,1979 Vespa 100 Sport,1979,68186f053822f904ba7850af4a222017e3bbf60ea60401232943f748da4236ee,4500,9,Scooters,1100.0,96,vespa,100 sport,scooter,4500,1100.0,96,vespa vespa scooter 4500 1100.0 96
Peugeot,Speedfight 100,2007 Peugeot Speedfight 100,2007,847b2c826d8e75d12c08bad4136f7f151bc3720e9ed32a84508e95f3b238c21b,1750,6,Scooters,16100.0,100,peugeot,speedfight 100,scooter,1750,16100.0,100,peugeot peugeot scooter 1750 16100.0 100
Honda,CT110P (ADR),2002 Honda CT110P (ADR),2002,c9f25cfc186c4051d7a4759557ff38f7af85d73d0bb986ebb2d3cdc8d235cacd,1300,6,Naked,35314.0,105,honda,ct110p ( adr ),nake,1300,35314.0,105,honda honda nake 1300 35314.0 105
Honda,CT110P (ADR),2009 Honda CT110P (ADR),2009,3db2aa63f96456ff6ff64d394c7f09678525b70dab051220f6008f238464bbb1,4990,10,Naked,6300.0,105,honda,ct110p ( adr ),nake,4990,6300.0,105,honda honda nake 4990 6300.0 105
Honda,Dio (NSC110),2013 Honda Dio (NSC110),2013,21d8366bb4e8653150528b85a5545fa8d1831381f56d4212708e71b73b0c5e77,2000,7,Scooters,4564.0,108,honda,dio ( nsc110 ),scooter,2000,4564.0,108,honda honda scooter 2000 4564.0 108
Honda,Super Cub C110 (NBC110),2015 Honda Super Cub C110 (NBC110),2015,910250af2eba14d4eac21c87e7574c0952006951b00e86a97907afd5b55c4618,1750,6,Scooters,28999.0,109,honda,super cub c110 ( nbc110 ),scooter,1750,28999.0,109,honda honda scooter 1750 28999.0 109
Honda,Super Cub C110 (NBC110),2013 Honda Super Cub C110 (NBC110),2013,81dc01cee1980c462b2eb19f800968ca56a7adb6c25fa7d66627aa0402e1b98d,1800,4,Scooters,37000.0,109,honda,super cub c110 ( nbc110 ),scooter,1800,37000.0,109,honda honda scooter 1800 37000.0 109
